,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Ordinary Shares Number,382307298.0,382164865.0,381400000.0,381215773.0,381075364.0
Share Issued,382307298.0,382164865.0,381400000.0,381215773.0,381075364.0
Net Debt,14205000000.0,14461000000.0,9945000000.0,11634000000.0,10348000000.0
Total Debt,16580000000.0,16781000000.0,13597000000.0,15484000000.0,12222000000.0
Tangible Book Value,-3954000000.0,-4291000000.0,384000000.0,-1187000000.0,-9000000.0
Invested Capital,37771000000.0,37711000000.0,34231000000.0,35633000000.0,31984000000.0
Working Capital,5715000000.0,5093000000.0,7231000000.0,7004000000.0,4719000000.0
Net Tangible Assets,-3954000000.0,-4291000000.0,384000000.0,-1187000000.0,-9000000.0
Common Stock Equity,21191000000.0,20930000000.0,20634000000.0,20149000000.0,19762000000.0
Total Capitalization,36020000000.0,35313000000.0,32822000000.0,33474000000.0,29889000000.0
Total Equity Gross Minority Interest,21191000000.0,20930000000.0,20634000000.0,20149000000.0,19762000000.0
Stockholders Equity,21191000000.0,20930000000.0,20634000000.0,20149000000.0,19762000000.0
Gains Losses Not Affecting Retained Earnings,-762000000.0,-409000000.0,-293000000.0,-545000000.0,-355000000.0
Other Equity Adjustments,-762000000.0,-409000000.0,-293000000.0,-545000000.0,-355000000.0
Retained Earnings,19423000000.0,18862000000.0,18528000000.0,18303000000.0,17774000000.0
Additional Paid In Capital,2492000000.0,2439000000.0,2361000000.0,2353000000.0,2305000000.0
Capital Stock,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0
Common Stock,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0
Total Liabilities Net Minority Interest,25140000000.0,25076000000.0,22337000000.0,23684000000.0,19368000000.0
Total Non Current Liabilities Net Minority Interest,17852000000.0,17147000000.0,14721000000.0,16015000000.0,12442000000.0
Other Non Current Liabilities,2628000000.0,2392000000.0,2184000000.0,2322000000.0,1965000000.0
Tradeand Other Payables Non Current,395000000.0,372000000.0,349000000.0,368000000.0,350000000.0
Long Term Debt And Capital Lease Obligation,14829000000.0,14383000000.0,12188000000.0,13325000000.0,10127000000.0
Long Term Debt,14829000000.0,14383000000.0,12188000000.0,13325000000.0,10127000000.0
Current Liabilities,7288000000.0,7929000000.0,7616000000.0,7669000000.0,6926000000.0
Current Debt And Capital Lease Obligation,1751000000.0,2398000000.0,1409000000.0,2159000000.0,2095000000.0
Current Debt,1751000000.0,2398000000.0,1409000000.0,2159000000.0,2095000000.0
Other Current Borrowings,,,,2159000000.0,2095000000.0
Pensionand Other Post Retirement Benefit Plans Current,1075000000.0,919000000.0,1403000000.0,1250000000.0,887000000.0
Payables And Accrued Expenses,4462000000.0,4612000000.0,4804000000.0,4260000000.0,3944000000.0
Current Accrued Expenses,2608000000.0,2229000000.0,2266000000.0,2224000000.0,2001000000.0
Payables,1854000000.0,2383000000.0,2538000000.0,2036000000.0,1943000000.0
Dividends Payable,321000000.0,320000000.0,320000000.0,305000000.0,305000000.0
Total Tax Payable,91000000.0,599000000.0,539000000.0,394000000.0,334000000.0
Income Tax Payable,91000000.0,599000000.0,539000000.0,394000000.0,334000000.0
Accounts Payable,1442000000.0,1464000000.0,1679000000.0,1337000000.0,1304000000.0
Total Assets,46331000000.0,46006000000.0,42971000000.0,43833000000.0,39130000000.0
Total Non Current Assets,33328000000.0,32984000000.0,28124000000.0,29160000000.0,27485000000.0
Other Non Current Assets,3106000000.0,2816000000.0,2684000000.0,2833000000.0,2790000000.0
Non Current Deferred Assets,1375000000.0,1411000000.0,1742000000.0,1562000000.0,1606000000.0
Non Current Deferred Taxes Assets,1375000000.0,1411000000.0,1742000000.0,1562000000.0,1606000000.0
Goodwill And Other Intangible Assets,25145000000.0,25221000000.0,20250000000.0,21336000000.0,19771000000.0
Other Intangible Assets,5962000000.0,6132000000.0,4395000000.0,4940000000.0,4363000000.0
Goodwill,19183000000.0,19089000000.0,15855000000.0,16396000000.0,15408000000.0
Net PPE,3702000000.0,3536000000.0,3448000000.0,3429000000.0,3318000000.0
Accumulated Depreciation,-3570000000.0,-3374000000.0,-3235000000.0,-3460000000.0,-3304000000.0
Gross PPE,7272000000.0,6910000000.0,6683000000.0,6889000000.0,6622000000.0
Machinery Furniture Equipment,5536000000.0,5241000000.0,5056000000.0,5160000000.0,4937000000.0
Properties,1736000000.0,1669000000.0,1627000000.0,1729000000.0,1685000000.0
Current Assets,13003000000.0,13022000000.0,14847000000.0,14673000000.0,11645000000.0
Other Current Assets,1332000000.0,1547000000.0,1593000000.0,961000000.0,1022000000.0
Inventory,5289000000.0,5105000000.0,4774000000.0,5292000000.0,5044000000.0
Finished Goods,3548000000.0,3511000000.0,3291000000.0,3667000000.0,3501000000.0
Work In Process,436000000.0,398000000.0,336000000.0,391000000.0,380000000.0
Raw Materials,1305000000.0,1196000000.0,1147000000.0,1234000000.0,1163000000.0
Receivables,3918000000.0,3961000000.0,3987000000.0,3736000000.0,3622000000.0
Accounts Receivable,3918000000.0,3961000000.0,3987000000.0,3736000000.0,3622000000.0
Allowance For Doubtful Accounts Receivable,-222000000.0,-221000000.0,-213000000.0,-200000000.0,-186000000.0
Gross Accounts Receivable,4140000000.0,4182000000.0,4200000000.0,3936000000.0,3808000000.0
Cash Cash Equivalents And Short Term Investments,2464000000.0,2409000000.0,4493000000.0,4684000000.0,1957000000.0
Other Short Term Investments,89000000.0,89000000.0,841000000.0,834000000.0,83000000.0
Cash And Cash Equivalents,2375000000.0,2320000000.0,3652000000.0,3850000000.0,1874000000.0
